tag,step,value,wall_time
Loss/Discriminator,5,1.8577427864074707,1776601894.0284102
Loss/Discriminator,16,1.7325812578201294,1776601897.9065163
Loss/Discriminator,23,1.2120723724365234,1776601900.4213715
Loss/Discriminator,56,1.278061866760254,1776601912.2071323
Loss/Discriminator,66,1.2780342102050781,1776601915.7674906
Loss/Discriminator,69,1.2329521179199219,1776601916.8240263
Loss/Discriminator,72,1.3669288158416748,1776601917.9011505
Loss/Discriminator,78,1.2857760190963745,1776601920.026918
Loss/Discriminator,81,1.1926761865615845,1776601921.0988224
Loss/Discriminator,85,1.3670107126235962,1776601922.557225
Loss/Discriminator,104,1.2044328451156616,1776601929.2631152
Loss/Discriminator,107,1.2975058555603027,1776601930.3265183
Loss/Discriminator,142,1.4042457342147827,1776601942.4234464
Loss/Discriminator,145,1.309168815612793,1776601943.4631338
Loss/Discriminator,146,1.3297594785690308,1776601943.7990355
Loss/Discriminator,151,1.2929548025131226,1776601945.5325572
Loss/Discriminator,171,1.3123574256896973,1776601952.4395266
Loss/Discriminator,175,1.2238941192626953,1776601953.8119648
Loss/Discriminator,188,1.1177362203598022,1776601958.3416414
Loss/Discriminator,213,1.0902893543243408,1776601967.0774026
Loss/Discriminator,227,1.3980562686920166,1776601971.884803
Loss/Discriminator,252,1.1894543170928955,1776601980.6672595
Loss/Discriminator,257,1.1911591291427612,1776601982.4190044
Loss/Discriminator,305,1.1671419143676758,1776601999.2168605
Loss/Discriminator,324,1.0763636827468872,1776602005.817435
Loss/Discriminator,327,1.0951666831970215,1776602006.8871017
Loss/Discriminator,353,1.2076703310012817,1776602015.958426
Loss/Discriminator,376,1.2396211624145508,1776602024.0855286
Loss/Discriminator,378,1.2333931922912598,1776602024.8336697
Loss/Discriminator,405,1.4312193393707275,1776602034.5571377
Loss/Discriminator,420,1.205204725265503,1776602039.982071
Loss/Discriminator,424,1.186731219291687,1776602041.4330134
Loss/Discriminator,450,1.243404507637024,1776602050.816966
Loss/Discriminator,456,1.2621368169784546,1776602052.9767675
Loss/Discriminator,485,1.2137174606323242,1776602063.5585952
Loss/Discriminator,522,1.1973867416381836,1776602077.1122143
Loss/Discriminator,526,1.17547607421875,1776602078.5733666
Loss/Discriminator,530,1.1973789930343628,1776602080.0661228
Loss/Discriminator,564,1.175270676612854,1776602092.4451778
Loss/Discriminator,590,1.2709722518920898,1776602101.9397633
Loss/Discriminator,606,1.213342308998108,1776602107.792893
Loss/Discriminator,615,1.1449623107910156,1776602111.0780737
Loss/Discriminator,652,1.2433955669403076,1776602124.7660458
Loss/Discriminator,653,1.2177627086639404,1776602125.151226
Loss/Discriminator,666,1.4362993240356445,1776602129.9780188
Loss/Discriminator,709,1.093186855316162,1776602145.7079701
Loss/Discriminator,752,1.081230640411377,1776602161.2844357
Loss/Discriminator,757,1.169595718383789,1776602163.0620818
Loss/Discriminator,759,1.2626382112503052,1776602163.7632635
Loss/Discriminator,765,1.1696453094482422,1776602165.916103
Loss/Discriminator,781,1.2011454105377197,1776602171.661749
Loss/Discriminator,785,1.0972583293914795,1776602173.1799192
Loss/Discriminator,817,1.1524379253387451,1776602184.8311894
Loss/Discriminator,829,1.140894889831543,1776602189.1970935
Loss/Discriminator,843,1.1836330890655518,1776602194.201938
Loss/Discriminator,847,1.153170108795166,1776602195.6391888
Loss/Discriminator,849,1.1112425327301025,1776602196.3629699
Loss/Discriminator,854,1.1356093883514404,1776602198.159609
Loss/Discriminator,867,1.7310298681259155,1776602202.7379737
Loss/Discriminator,877,1.1315773725509644,1776602206.3054414
Loss/Discriminator,884,1.2406785488128662,1776602208.770953
Loss/Discriminator,914,1.0566504001617432,1776602219.5583496
Loss/Discriminator,921,1.202563762664795,1776602222.0298266
Loss/Discriminator,926,1.0796926021575928,1776602223.8181236
Loss/Discriminator,983,1.0573292970657349,1776602244.6096532
Loss/Discriminator,1040,1.078428030014038,1776602265.6561463
Loss/Discriminator,1057,1.1112949848175049,1776602271.8859549
Loss/Discriminator,1062,1.173933744430542,1776602273.7313454
Loss/Discriminator,1069,1.0627857446670532,1776602276.3093827
Loss/Discriminator,1080,1.1801323890686035,1776602280.3214533
Loss/Discriminator,1092,1.1217145919799805,1776602284.7016664
Loss/Discriminator,1129,1.1239612102508545,1776602298.2996175
Loss/Discriminator,1178,1.339620590209961,1776602316.4239962
Loss/Discriminator,1222,1.1985297203063965,1776602332.8586376
Loss/Discriminator,1237,1.2297090291976929,1776602338.4147544
